accession_name,block,common_name,experiment,minicore_id,plot_name,plot_number,population_name,range,row,seedlot_name,sort,first flower date,seed count
UCR_830,,UCR 830,GHC2501,MinicoreUCR_383,GHC2501_446,446,UCR_mini_core,,,UCR_MinicoreUCR_383_2025,346,,61
TVu-14621,,,GHC2501,MinicoreUCR_155,GHC2501_272,272,UCR_mini_core,,,UCR_MinicoreUCR_155_2025,172,,62
TVu-9095,,,GHC2501,MinicoreUCR_329,GHC2501_400,400,UCR_mini_core,,,UCR_MinicoreUCR_329_2025,300,4/1/26,62
UCR_5280,,UCR 5280,GHC2501,MinicoreUCR_376,GHC2501_440,440,UCR_mini_core,,,UCR_MinicoreUCR_376_2025,340,,62
UCR_162,,UCR 162,GHC2501,MinicoreUCR_361,GHC2501_430,430,UCR_mini_core,,,UCR_MinicoreUCR_361_2025,330,3/16/26,64
TVu-16237,,,GHC2501,MinicoreUCR_194,GHC2501_304,304,UCR_mini_core,,,UCR_MinicoreUCR_194_2025,204,3/16/26,65
TVu-6356,,,GHC2501,MinicoreUCR_268,GHC2501_365,365,UCR_mini_core,,,UCR_MinicoreUCR_268_2025,265,,65
TVu-8702,,,GHC2501,MinicoreUCR_316,GHC2501_395,395,UCR_mini_core,,,UCR_MinicoreUCR_316_2025,295,4/1/26,66
TVu-9393,,,GHC2501,MinicoreUCR_334,GHC2501_405,405,UCR_mini_core,,,UCR_MinicoreUCR_334_2025,305,4/1/26,66
TVu-16408,,,GHC2501,MinicoreUCR_202,GHC2501_311,311,UCR_mini_core,,,UCR_MinicoreUCR_202_2025,211,3/16/26,68
TVu-9556,,,GHC2501,MinicoreUCR_345,GHC2501_415,415,UCR_mini_core,,,UCR_MinicoreUCR_345_2025,315,3/16/26,68
