accession_name,Minicore #,DNA ID,Seedlot,AKA,Short Day
TVu-8082,MinicoreUCR_304,5188,GH (2016-2018),,
Tvu-8389,MinicoreUCR_307,5191,GH (2016-2018),,
TVu-84,MinicoreUCR_308,5192,GH (2016-2018),,
TVu-8612,MinicoreUCR_309,5193,GH (2016-2018),,
TVu-8622,MinicoreUCR_310,5194,GH (2016-2018),,
TVu-8631,MinicoreUCR_311,5195,GH (2016-2018),,
TVu-8656,MinicoreUCR_313,5197,GH (2016-2018),,
TVu-8671,MinicoreUCR_314,5198,GH (2016-2018),,
TVu-8673,MinicoreUCR_315,5199,GH (2016-2018),,
TVu-8702,MinicoreUCR_316,5200,GH (2016-2018),,
TVu-8713,MinicoreUCR_317,5201,GH (2016-2018),,
TVu-8775,MinicoreUCR_318,5202,GH (2016-2018),,
TVu-8877,MinicoreUCR_322,5206,GH (2016-2018),,
TVu-9073,MinicoreUCR_328,5212,GH (2016-2018),,
TVu-9095,MinicoreUCR_329,5213,GH (2016-2018),,
TVu-9256,MinicoreUCR_330,5214,GH (2016-2018),,
TVu-9257,MinicoreUCR_331,5215,GH (2016-2018),,
TVu-9259,MinicoreUCR_332,5216,GH (2016-2018),,
TVu-9265,MinicoreUCR_333,5217,GH (2016-2018),,
TVu-9393,MinicoreUCR_334,5218,GH (2016-2018),,
TVu-946,MinicoreUCR_335,5219,GH (2016-2018),,
TVu-9469,MinicoreUCR_337,5221,GH (2016-2018),,
TVu-9474,MinicoreUCR_338,5222,GH (2016-2018),,
TVu-9486,MinicoreUCR_339,5223,GH (2016-2018),,
TVu-9492,MinicoreUCR_340,5224,GH (2016-2018),,
TVu-9506,MinicoreUCR_341,5225,GH (2016-2018),,
TVu-9508,MinicoreUCR_342,5226,GH (2016-2018),,
TVu-9516,MinicoreUCR_343,5227,GH (2016-2018),,
TVu-9522,MinicoreUCR_344,5228,GH (2016-2018),,
TVu-9556,MinicoreUCR_345,5229,GH (2016-2018),,
TVu-9557,MinicoreUCR_346,5230,GH (2016-2018),,
TVu-9620,MinicoreUCR_347,5231,GH (2016-2018),,
TVu-9651,MinicoreUCR_348,5232,GH (2016-2018),,
TVu-969,MinicoreUCR_350,5234,GH (2016-2018),,
TVu-972,MinicoreUCR_351,5235,GH (2016-2018),,
TVu-9749,MinicoreUCR_352,5236,GH (2016-2018),,
TVu-9801,MinicoreUCR_353,5237,GH (2016-2018),,
TVu-9820,MinicoreUCR_354,5238,GH (2016-2018),,
TVu-9848,MinicoreUCR_355,5239,GH (2016-2018),,
TVu-9866,MinicoreUCR_356,5240,GH (2016-2018),,
 UCR_11,MinicoreUCR_357,5241,GH (2016-2018),UCR 11,
