"experiment","plot_name","accession_name","common_name","plot_number","range","row","block","seedlot_name"
"CP2602","CP2602_704","TVu-14759",NA,704,7,4,"7","GHC2501_275_SL"
"CP2602","CP2602_705","IT99K-124-5",NA,705,7,5,"7","GHC2501_199_SL"
"CP2602","CP2602_706","PI 664516","Carolina Crowder",706,7,6,"7","GRIN_PI664516_2026"
"CP2602","CP2602_707","Check1","Coronet Pinkeye Purplehull",707,7,7,"7","KellySeedDillon_CoronetPinkeyePurplehull_2024"
"CP2602","CP2602_708","IT98K-498-1",NA,708,7,8,"7","GHC2501_197_SL"
"CP2602","CP2602_709","FN-1-14-04",NA,709,7,9,"7","GHC2501_156_SL"
"CP2602","CP2602_710","IT97K-499-35-1-1",NA,710,7,10,"7","GHC2501_188_SL"
"CP2602","CP2602_711","TVu-9522",NA,711,7,11,"7","GHC2501_414_SL"
"CP2602","CP2602_712","Gorda",NA,712,7,12,"7","GHC2501_159_SL"
"CP2602","CP2602_713","TVu-9095",NA,713,7,13,"7","GHC2501_400_SL"
"CP2602","CP2602_714","IT85F-867-5",NA,714,7,14,"7","GHC2501_174_SL"
"CP2602","CP2602_715","TVu-9801",NA,715,7,15,"7","GHC2501_422_SL"
"CP2602","CP2602_716","TVu-6464",NA,716,7,16,"7","GHC2501_368_SL"
"CP2602","CP2602_717","Check3","Dixie Lee Pea",717,7,17,"7","KellySeedDillon_DixieLeaPea_2024"
"CP2602","CP2602_718","TVu-4711",NA,718,7,18,"7","GHC2501_361_SL"
"CP2602","CP2602_719","CB5-2","CB46 (but wrong)",719,7,19,"7","GHC2501_148_SL"
"CP2602","CP2602_720","PI 664525","KnuckleHull-VNR",720,7,20,"7","GRIN_PI664525_2026"
"CP2602","CP2602_721","TVu-2398",NA,721,7,21,"7","GHC2501_326_SL"
"CP2602","CP2602_722","PI 664529","US-311",722,7,22,"7","GRIN_PI664529_2026"
"CP2602","CP2602_723","PI 664523","DoubleGreen Delight",723,7,23,"7","GRIN_PI664523_2026"
"CP2602","CP2602_724","IT89KD-288",NA,724,7,24,"7","GHC2501_176_SL"
"CP2602","CP2602_725","TVu-12746",NA,725,7,25,"7","GHC2501_238_SL"
"CP2602","CP2602_801","TVu-9866",NA,801,8,1,"8","GHC2501_425_SL"
"CP2602","CP2602_802","TVu-14336",NA,802,8,2,"8","GHC2501_266_SL"
"CP2602","CP2602_803","Check1","Coronet Pinkeye Purplehull",803,8,3,"8","KellySeedDillon_CoronetPinkeyePurplehull_2024"
"CP2602","CP2602_804","IT95M-190",NA,804,8,4,"8","GHC2501_183_SL"
"CP2602","CP2602_805","IT98K-205-8",NA,805,8,5,"8","GHC2501_195_SL"
"CP2602","CP2602_806","PI 601359","Pinkeye Pink Pod",806,8,6,"8","GRIN_PI601359_2026"
"CP2602","CP2602_807","INIA-72",NA,807,8,7,"8","GHC2501_168_SL"
"CP2602","CP2602_808","58-57",NA,808,8,8,"8","GHC2501_142_SL"
"CP2602","CP2602_809","CB27",NA,809,8,9,"8","GHC2501_146_SL"
"CP2602","CP2602_810","PI 663151","Carolina Cream",810,8,10,"8","GRIN_PI663151_2026"
"CP2602","CP2602_811","CB46",NA,811,8,11,"8","GHC2501_464_SL"
"CP2602","CP2602_812","Top Pick Pinkeye Pea","Top Pick Pinkeye Pea",812,8,12,"8","Hoss_TopPickPinkeyePea_2024"
"CP2602","CP2602_813","TVu-3360",NA,813,8,13,"8","GHC2501_342_SL"
"CP2602","CP2602_814","PI 663153","CR 18-13-1",814,8,14,"8","GRIN_PI663153_2026"
"CP2602","CP2602_815","PI 664521","Charleston Blackeye",815,8,15,"8","GRIN_PI664521_2026"
"CP2602","CP2602_816","TVu-4984",NA,816,8,16,"8","GHC2501_362_SL"
"CP2602","CP2602_817","IT97K-207-21",NA,817,8,17,"8","GHC2501_186_SL"
"CP2602","CP2602_818","TVu-6968",NA,818,8,18,"8","GHC2501_372_SL"
"CP2602","CP2602_819","PI 664530","US-427",819,8,19,"8","GRIN_PI664530_2026"
"CP2602","CP2602_820","TVu-16368",NA,820,8,20,"8","GHC2501_308_SL"
"CP2602","CP2602_821","Check2","Top Pick Pinkeye Pea",821,8,21,"8","Hoss_TopPickPinkeyePea_2024"
"CP2602","CP2602_822","Check3","Dixie Lee Pea",822,8,22,"8","KellySeedDillon_DixieLeaPea_2024"
"CP2602","CP2602_823","TVu-14393",NA,823,8,23,"8","GHC2501_269_SL"
"CP2602","CP2602_824","N'diambour",NA,824,8,24,"8","GHC2501_215_SL"
"CP2602","CP2602_825","PI 664524","Green Dixie Blackeye",825,8,25,"8","GRIN_PI664524_2026"
"CP2602","CP2602_901","Mouride",NA,901,9,1,"9","GHC2501_211_SL"
"CP2602","CP2602_902","524B","524-B",902,9,2,"9","GHC2501_141_SL"
"CP2602","CP2602_903","TVu-2845",NA,903,9,3,"9","GHC2501_334_SL"
"CP2602","CP2602_904","TVu-6641",NA,904,9,4,"9","GHC2501_370_SL"
"CP2602","CP2602_905","Check3","Dixie Lee Pea",905,9,5,"9","KellySeedDillon_DixieLeaPea_2024"
"CP2602","CP2602_906","China_501","China 501",906,9,6,"9","GHC2501_149_SL"
"CP2602","CP2602_907","Cp_4877","Cp 4877",907,9,7,"9","GHC2501_453_SL"
"CP2602","CP2602_908","TVu-9506",NA,908,9,8,"9","GHC2501_411_SL"
"CP2602","CP2602_909","TVu-1556",NA,909,9,9,"9","GHC2501_289_SL"
"CP2602","CP2602_910","TVu-2968",NA,910,9,10,"9","GHC2501_336_SL"
"CP2602","CP2602_911","UCR_5353","UCR 5353",911,9,11,"9","GHC2501_441_SL"
"CP2602","CP2602_912","Mougne",NA,912,9,12,"9","GHC2501_210_SL"
"CP2602","CP2602_913","TVu-4622",NA,913,9,13,"9","GHC2501_358_SL"
"CP2602","CP2602_914","Check1","Coronet Pinkeye Purplehull",914,9,14,"9","KellySeedDillon_CoronetPinkeyePurplehull_2024"
"CP2602","CP2602_915","UCR_3326","UCR 3326",915,9,15,"9","GHC2501_435_SL"
"CP2602","CP2602_916","PI 578897","Grif 9058",916,9,16,"9","GRIN_PI578897_2026"
"CP2602","CP2602_917","TVu-15973",NA,917,9,17,"9","GHC2501_300_SL"
"CP2602","CP2602_918","TVu-10513",NA,918,9,18,"9","GHC2501_231_SL"
"CP2602","CP2602_919","TVu-7625",NA,919,9,19,"9","GHC2501_375_SL"
"CP2602","CP2602_920","PI 664518","Bettersnap",920,9,20,"9","GRIN_PI664518_2026"
"CP2602","CP2602_921","TVu-6439",NA,921,9,21,"9","GHC2501_367_SL"
"CP2602","CP2602_922","PI 664528","WhiteAcre-DG",922,9,22,"9","GRIN_PI664528_2026"
"CP2602","CP2602_923","Check2","Top Pick Pinkeye Pea",923,9,23,"9","Hoss_TopPickPinkeyePea_2024"
"CP2602","CP2602_924","Vg73",NA,924,9,24,"9","GHC2501_463_SL"
"CP2602","CP2602_925","IT93K-452-1",NA,925,9,25,"9","GHC2501_177_SL"
"CP2602","CP2602_1001","TVu-8631",NA,1001,10,1,"10","GHC2501_391_SL"
"CP2602","CP2602_1002","TVu-16505",NA,1002,10,2,"10","GHC2501_314_SL"
"CP2602","CP2602_1003","Iron Clay",NA,1003,10,3,"10",NA
